original_inventory_sector,start_time,end_time,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,activity,activity_units,source_name
road-transportation,1/1/2022,12/31/2022,ch4,185.8363747,2.10E-08,T of CH4 per VKT,9296.794207,km,8830000000,vehicle km traveled (VKT),Faisalabad Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,n2o,39.85962371,5.77E-09,T of N2O per VKT,5490.958003,km,6900000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Islamabad Division
road-transportation,1/1/2021,12/31/2021,ch4,145.2591584,2.10E-08,T of CH4 per VKT,5490.958003,km,6900000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Islamabad Division
road-transportation,1/1/2022,12/31/2022,n2o,41.58269696,5.77E-09,T of N2O per VKT,5628.571696,km,7200000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Islamabad Division
road-transportation,1/1/2022,12/31/2022,ch4,151.5384994,2.10E-08,T of CH4 per VKT,5628.571696,km,7200000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Islamabad Division
road-transportation,1/1/2021,12/31/2021,n2o,27.0890334,5.77E-09,T of N2O per VKT,4474.275981,km,4690000000,vehicle km traveled (VKT),Peshawar Urban Area in Peshawar Division
road-transportation,1/1/2021,12/31/2021,co2,805731.5301,0.000171761,T of CO2 per VKT,4474.275981,km,4690000000,vehicle km traveled (VKT),Peshawar Urban Area in Peshawar Division
road-transportation,1/1/2021,12/31/2021,ch4,98.71970247,2.10E-08,T of CH4 per VKT,4474.275981,km,4690000000,vehicle km traveled (VKT),Peshawar Urban Area in Peshawar Division
road-transportation,1/1/2022,12/31/2022,n2o,32.41609375,5.77E-09,T of N2O per VKT,5177.043146,km,5610000000,vehicle km traveled (VKT),Peshawar Urban Area in Peshawar Division
road-transportation,1/1/2022,12/31/2022,ch4,118.132939,2.10E-08,T of CH4 per VKT,5177.043146,km,5610000000,vehicle km traveled (VKT),Peshawar Urban Area in Peshawar Division
road-transportation,1/1/2021,12/31/2021,n2o,29.82994698,5.77E-09,T of N2O per VKT,5204.342442,km,5170000000,vehicle km traveled (VKT),Multan Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,ch4,108.7083266,2.10E-08,T of CH4 per VKT,5204.342442,km,5170000000,vehicle km traveled (VKT),Multan Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,n2o,31.54363557,5.77E-09,T of N2O per VKT,5505.590985,km,5460000000,vehicle km traveled (VKT),Multan Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,ch4,114.9534674,2.10E-08,T of CH4 per VKT,5505.590985,km,5460000000,vehicle km traveled (VKT),Multan Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,n2o,24.89290363,5.77E-09,T of N2O per VKT,4343.94939,km,4310000000,vehicle km traveled (VKT),Gujranwala Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,co2,740410.2254,0.000171761,T of CO2 per VKT,4343.94939,km,4310000000,vehicle km traveled (VKT),Gujranwala Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,ch4,90.7164166,2.10E-08,T of CH4 per VKT,4343.94939,km,4310000000,vehicle km traveled (VKT),Gujranwala Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,n2o,27.16244369,5.77E-09,T of N2O per VKT,4725.029385,km,4700000000,vehicle km traveled (VKT),Gujranwala Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,co2,807915.033,0.000171761,T of CO2 per VKT,4725.029385,km,4700000000,vehicle km traveled (VKT),Gujranwala Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,ch4,98.98722923,2.10E-08,T of CH4 per VKT,4725.029385,km,4700000000,vehicle km traveled (VKT),Gujranwala Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,n2o,20.90788175,5.77E-09,T of N2O per VKT,3347.832134,km,3620000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,co2,621880.4233,0.000171761,T of CO2 per VKT,3347.832134,km,3620000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,ch4,76.1939282,2.10E-08,T of CH4 per VKT,3347.832134,km,3620000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,n2o,21.91029337,5.77E-09,T of N2O per VKT,3497.1947,km,3790000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,co2,651695.9811,0.000171761,T of CO2 per VKT,3497.1947,km,3790000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,ch4,79.84698494,2.10E-08,T of CH4 per VKT,3497.1947,km,3790000000,vehicle km traveled (VKT),Rawalpindi [Islamabad] Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,n2o,15.59475162,5.77E-09,T of N2O per VKT,2704.331097,km,2700000000,vehicle km traveled (VKT),Sialkot Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,co2,463847.5985,0.000171761,T of CO2 per VKT,2704.331097,km,2700000000,vehicle km traveled (VKT),Sialkot Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,ch4,56.83145713,2.10E-08,T of CH4 per VKT,2704.331097,km,2700000000,vehicle km traveled (VKT),Sialkot Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,n2o,16.24875317,5.77E-09,T of N2O per VKT,2827.234468,km,2810000000,vehicle km traveled (VKT),Sialkot Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,co2,483300.1074,0.000171761,T of CO2 per VKT,2827.234468,km,2810000000,vehicle km traveled (VKT),Sialkot Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,ch4,59.21481414,2.10E-08,T of CH4 per VKT,2827.234468,km,2810000000,vehicle km traveled (VKT),Sialkot Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,n2o,13.61332286,5.77E-09,T of N2O per VKT,2383.122758,km,2360000000,vehicle km traveled (VKT),Hyderabad Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,co2,404912.3236,0.000171761,T of CO2 per VKT,2383.122758,km,2360000000,vehicle km traveled (VKT),Hyderabad Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,ch4,49.61059934,2.10E-08,T of CH4 per VKT,2383.122758,km,2360000000,vehicle km traveled (VKT),Hyderabad Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,n2o,14.06911564,5.77E-09,T of N2O per VKT,2484.519991,km,2440000000,vehicle km traveled (VKT),Hyderabad Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,co2,418469.3453,0.000171761,T of CO2 per VKT,2484.519991,km,2440000000,vehicle km traveled (VKT),Hyderabad Urban Area in Hyderabad Division
road-transportation,1/1/2022,12/31/2022,ch4,51.27163046,2.10E-08,T of CH4 per VKT,2484.519991,km,2440000000,vehicle km traveled (VKT),Hyderabad Urban Area in Hyderabad Division
road-transportation,1/1/2021,12/31/2021,n2o,8.919504213,5.77E-09,T of N2O per VKT,1333.279151,km,1540000000,vehicle km traveled (VKT),Wah Cantonment Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,co2,265300.1926,0.000171761,T of CO2 per VKT,1333.279151,km,1540000000,vehicle km traveled (VKT),Wah Cantonment Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,ch4,32.50506539,2.10E-08,T of CH4 per VKT,1333.279151,km,1540000000,vehicle km traveled (VKT),Wah Cantonment Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,n2o,11.45420722,5.77E-09,T of N2O per VKT,1806.324254,km,1980000000,vehicle km traveled (VKT),Wah Cantonment Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,co2,340691.9609,0.000171761,T of CO2 per VKT,1806.324254,km,1980000000,vehicle km traveled (VKT),Wah Cantonment Urban Area in Rawalpindi Division
road-transportation,1/1/2022,12/31/2022,ch4,41.7422029,2.10E-08,T of CH4 per VKT,1806.324254,km,1980000000,vehicle km traveled (VKT),Wah Cantonment Urban Area in Rawalpindi Division
road-transportation,1/1/2021,12/31/2021,n2o,10.22840247,5.77E-09,T of N2O per VKT,1905.437416,km,1770000000,vehicle km traveled (VKT),Quetta Urban Area in Quetta Division
road-transportation,1/1/2021,12/31/2021,co2,304231.8363,0.000171761,T of CO2 per VKT,1905.437416,km,1770000000,vehicle km traveled (VKT),Quetta Urban Area in Quetta Division
road-transportation,1/1/2021,12/31/2021,ch4,37.27504167,2.10E-08,T of CH4 per VKT,1905.437416,km,1770000000,vehicle km traveled (VKT),Quetta Urban Area in Quetta Division
road-transportation,1/1/2022,12/31/2022,n2o,10.79069754,5.77E-09,T of N2O per VKT,1985.972016,km,1870000000,vehicle km traveled (VKT),Quetta Urban Area in Quetta Division
road-transportation,1/1/2022,12/31/2022,co2,320956.6436,0.000171761,T of CO2 per VKT,1985.972016,km,1870000000,vehicle km traveled (VKT),Quetta Urban Area in Quetta Division
road-transportation,1/1/2022,12/31/2022,ch4,39.32419569,2.10E-08,T of CH4 per VKT,1985.972016,km,1870000000,vehicle km traveled (VKT),Quetta Urban Area in Quetta Division
road-transportation,1/1/2021,12/31/2021,n2o,4.122350639,5.77E-09,T of N2O per VKT,804.0628505,km,714000000,vehicle km traveled (VKT),Abbottabad Urban Area in Hazara Division
road-transportation,1/1/2021,12/31/2021,co2,122614.4853,0.000171761,T of CO2 per VKT,804.0628505,km,714000000,vehicle km traveled (VKT),Abbottabad Urban Area in Hazara Division
road-transportation,1/1/2021,12/31/2021,ch4,15.02295126,2.10E-08,T of CH4 per VKT,804.0628505,km,714000000,vehicle km traveled (VKT),Abbottabad Urban Area in Hazara Division
road-transportation,1/1/2022,12/31/2022,n2o,9.244241782,5.77E-09,T of N2O per VKT,1768.003008,km,1600000000,vehicle km traveled (VKT),Abbottabad Urban Area in Hazara Division
road-transportation,1/1/2022,12/31/2022,co2,274959.1307,0.000171761,T of CO2 per VKT,1768.003008,km,1600000000,vehicle km traveled (VKT),Abbottabad Urban Area in Hazara Division
road-transportation,1/1/2022,12/31/2022,ch4,33.68849618,2.10E-08,T of CH4 per VKT,1768.003008,km,1600000000,vehicle km traveled (VKT),Abbottabad Urban Area in Hazara Division
road-transportation,1/1/2021,12/31/2021,n2o,8.375274828,5.77E-09,T of N2O per VKT,1583.14775,km,1450000000,vehicle km traveled (VKT),Sargodha Urban Area in Sargodha Division
road-transportation,1/1/2021,12/31/2021,co2,249112.7277,0.000171761,T of CO2 per VKT,1583.14775,km,1450000000,vehicle km traveled (VKT),Sargodha Urban Area in Sargodha Division
road-transportation,1/1/2021,12/31/2021,ch4,30.52174756,2.10E-08,T of CH4 per VKT,1583.14775,km,1450000000,vehicle km traveled (VKT),Sargodha Urban Area in Sargodha Division
road-transportation,1/1/2022,12/31/2022,n2o,9.029153481,5.77E-09,T of N2O per VKT,1619.491067,km,1560000000,vehicle km traveled (VKT),Sargodha Urban Area in Sargodha Division
road-transportation,1/1/2022,12/31/2022,co2,268561.5814,0.000171761,T of CO2 per VKT,1619.491067,km,1560000000,vehicle km traveled (VKT),Sargodha Urban Area in Sargodha Division
road-transportation,1/1/2022,12/31/2022,ch4,32.90465673,2.10E-08,T of CH4 per VKT,1619.491067,km,1560000000,vehicle km traveled (VKT),Sargodha Urban Area in Sargodha Division
road-transportation,1/1/2021,12/31/2021,n2o,6.414351783,5.77E-09,T of N2O per VKT,1197.806515,km,1110000000,vehicle km traveled (VKT),Mardan Urban Area in Mardan Division
road-transportation,1/1/2021,12/31/2021,co2,190787.3714,0.000171761,T of CO2 per VKT,1197.806515,km,1110000000,vehicle km traveled (VKT),Mardan Urban Area in Mardan Division
road-transportation,1/1/2021,12/31/2021,ch4,23.3756181,2.10E-08,T of CH4 per VKT,1197.806515,km,1110000000,vehicle km traveled (VKT),Mardan Urban Area in Mardan Division
road-transportation,1/1/2022,12/31/2022,n2o,6.678817314,5.77E-09,T of N2O per VKT,1266.345376,km,1160000000,vehicle km traveled (VKT),Mardan Urban Area in Mardan Division
road-transportation,1/1/2022,12/31/2022,co2,198653.5885,0.000171761,T of CO2 per VKT,1266.345376,km,1160000000,vehicle km traveled (VKT),Mardan Urban Area in Mardan Division
road-transportation,1/1/2022,12/31/2022,ch4,24.33940142,2.10E-08,T of CH4 per VKT,1266.345376,km,1160000000,vehicle km traveled (VKT),Mardan Urban Area in Mardan Division
road-transportation,1/1/2021,12/31/2021,n2o,6.639941236,5.77E-09,T of N2O per VKT,1151.110469,km,1150000000,vehicle km traveled (VKT),Gujrat Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,co2,197497.2651,0.000171761,T of CO2 per VKT,1151.110469,km,1150000000,vehicle km traveled (VKT),Gujrat Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,ch4,24.19772657,2.10E-08,T of CH4 per VKT,1151.110469,km,1150000000,vehicle km traveled (VKT),Gujrat Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,n2o,6.645045864,5.77E-09,T of N2O per VKT,1183.205958,km,1150000000,vehicle km traveled (VKT),Gujrat Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,co2,197649.0963,0.000171761,T of CO2 per VKT,1183.205958,km,1150000000,vehicle km traveled (VKT),Gujrat Urban Area in Gujranwala Division
road-transportation,1/1/2022,12/31/2022,ch4,24.2163292,2.10E-08,T of CH4 per VKT,1183.205958,km,1150000000,vehicle km traveled (VKT),Gujrat Urban Area in Gujranwala Division
road-transportation,1/1/2021,12/31/2021,n2o,4.238878342,5.77E-09,T of N2O per VKT,776.529081,km,734000000,vehicle km traveled (VKT),Swat City Urban Area in Malakand Division
road-transportation,1/1/2021,12/31/2021,co2,126080.4652,0.000171761,T of CO2 per VKT,776.529081,km,734000000,vehicle km traveled (VKT),Swat City Urban Area in Malakand Division
road-transportation,1/1/2021,12/31/2021,ch4,15.44760946,2.10E-08,T of CH4 per VKT,776.529081,km,734000000,vehicle km traveled (VKT),Swat City Urban Area in Malakand Division
road-transportation,1/1/2022,12/31/2022,n2o,6.470744137,5.77E-09,T of N2O per VKT,1178.96334,km,1120000000,vehicle km traveled (VKT),Swat City Urban Area in Malakand Division
road-transportation,1/1/2022,12/31/2022,co2,192464.6958,0.000171761,T of CO2 per VKT,1178.96334,km,1120000000,vehicle km traveled (VKT),Swat City Urban Area in Malakand Division
road-transportation,1/1/2022,12/31/2022,ch4,23.58112696,2.10E-08,T of CH4 per VKT,1178.96334,km,1120000000,vehicle km traveled (VKT),Swat City Urban Area in Malakand Division
road-transportation,1/1/2021,12/31/2021,n2o,6.109095205,5.77E-09,T of N2O per VKT,1140.173348,km,1060000000,vehicle km traveled (VKT),Bahawalpur Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,co2,181707.8725,0.000171761,T of CO2 per VKT,1140.173348,km,1060000000,vehicle km traveled (VKT),Bahawalpur Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,ch4,22.26318127,2.10E-08,T of CH4 per VKT,1140.173348,km,1060000000,vehicle km traveled (VKT),Bahawalpur Urban Area in Bahawalpur Division
road-transportation,1/1/2022,12/31/2022,n2o,6.459527391,5.77E-09,T of N2O per VKT,1224.145296,km,1120000000,vehicle km traveled (VKT),Bahawalpur Urban Area in Bahawalpur Division
road-transportation,1/1/2022,12/31/2022,co2,192131.0669,0.000171761,T of CO2 per VKT,1224.145296,km,1120000000,vehicle km traveled (VKT),Bahawalpur Urban Area in Bahawalpur Division
road-transportation,1/1/2022,12/31/2022,ch4,23.54025013,2.10E-08,T of CH4 per VKT,1224.145296,km,1120000000,vehicle km traveled (VKT),Bahawalpur Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,n2o,4.70630156,5.77E-09,T of N2O per VKT,1035.581575,km,815000000,vehicle km traveled (VKT),Rahimyar Khan Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,co2,139983.4206,0.000171761,T of CO2 per VKT,1035.581575,km,815000000,vehicle km traveled (VKT),Rahimyar Khan Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,ch4,17.15102502,2.10E-08,T of CH4 per VKT,1035.581575,km,815000000,vehicle km traveled (VKT),Rahimyar Khan Urban Area in Bahawalpur Division
road-transportation,1/1/2022,12/31/2022,n2o,5.86992331,5.77E-09,T of N2O per VKT,1261.929844,km,1020000000,vehicle km traveled (VKT),Rahimyar Khan Urban Area in Bahawalpur Division
road-transportation,1/1/2022,12/31/2022,co2,174593.9849,0.000171761,T of CO2 per VKT,1261.929844,km,1020000000,vehicle km traveled (VKT),Rahimyar Khan Urban Area in Bahawalpur Division
road-transportation,1/1/2022,12/31/2022,ch4,21.39157474,2.10E-08,T of CH4 per VKT,1261.929844,km,1020000000,vehicle km traveled (VKT),Rahimyar Khan Urban Area in Bahawalpur Division
road-transportation,1/1/2021,12/31/2021,n2o,5.217543779,5.77E-09,T of N2O per VKT,948.0644495,km,904000000,vehicle km traveled (VKT),Sahiwal Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,co2,155189.7209,0.000171761,T of CO2 per VKT,948.0644495,km,904000000,vehicle km traveled (VKT),Sahiwal Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,ch4,19.01412877,2.10E-08,T of CH4 per VKT,948.0644495,km,904000000,vehicle km traveled (VKT),Sahiwal Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,n2o,5.6770698,5.77E-09,T of N2O per VKT,1027.449125,km,983000000,vehicle km traveled (VKT),Sahiwal Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,co2,168857.7835,0.000171761,T of CO2 per VKT,1027.449125,km,983000000,vehicle km traveled (VKT),Sahiwal Urban Area in Multan Division
road-transportation,1/1/2022,12/31/2022,ch4,20.68876483,2.10E-08,T of CH4 per VKT,1027.449125,km,983000000,vehicle km traveled (VKT),Sahiwal Urban Area in Multan Division
road-transportation,1/1/2021,12/31/2021,n2o,5.048113686,5.77E-09,T of N2O per VKT,1039.658446,km,874000000,vehicle km traveled (VKT),Okara Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,co2,150150.2214,0.000171761,T of CO2 per VKT,1039.658446,km,874000000,vehicle km traveled (VKT),Okara Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,ch4,18.39668008,2.10E-08,T of CH4 per VKT,1039.658446,km,874000000,vehicle km traveled (VKT),Okara Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,n2o,5.531757752,5.77E-09,T of N2O per VKT,1091.021253,km,958000000,vehicle km traveled (VKT),Okara Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,co2,164535.647,0.000171761,T of CO2 per VKT,1091.021253,km,958000000,vehicle km traveled (VKT),Okara Urban Area in Lahore Division
road-transportation,1/1/2022,12/31/2022,ch4,20.15920876,2.10E-08,T of CH4 per VKT,1091.021253,km,958000000,vehicle km traveled (VKT),Okara Urban Area in Lahore Division
road-transportation,1/1/2021,12/31/2021,n2o,4.665887821,5.77E-09,T of N2O per VKT,853.4912626,km,808000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,co2,138781.3613,0.000171761,T of CO2 per VKT,853.4912626,km,808000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,ch4,17.00374652,2.10E-08,T of CH4 per VKT,853.4912626,km,808000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,n2o,5.154498116,5.77E-09,T of N2O per VKT,904.3616971,km,893000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,co2,153314.5016,0.000171761,T of CO2 per VKT,904.3616971,km,893000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,ch4,18.78437347,2.10E-08,T of CH4 per VKT,904.3616971,km,893000000,vehicle km traveled (VKT),Ghaseet pura69 RB Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,n2o,3.838225901,5.77E-09,T of N2O per VKT,728.9259498,km,665000000,vehicle km traveled (VKT),Dera Ismail Khan Urban Area in Dera Ismail Khan Division
road-transportation,1/1/2021,12/31/2021,co2,114163.5282,0.000171761,T of CO2 per VKT,728.9259498,km,665000000,vehicle km traveled (VKT),Dera Ismail Khan Urban Area in Dera Ismail Khan Division
road-transportation,1/1/2021,12/31/2021,ch4,13.98752452,2.10E-08,T of CH4 per VKT,728.9259498,km,665000000,vehicle km traveled (VKT),Dera Ismail Khan Urban Area in Dera Ismail Khan Division
road-transportation,1/1/2022,12/31/2022,n2o,4.16301992,5.77E-09,T of N2O per VKT,756.3849209,km,721000000,vehicle km traveled (VKT),Dera Ismail Khan Urban Area in Dera Ismail Khan Division
road-transportation,1/1/2022,12/31/2022,co2,123824.1454,0.000171761,T of CO2 per VKT,756.3849209,km,721000000,vehicle km traveled (VKT),Dera Ismail Khan Urban Area in Dera Ismail Khan Division
road-transportation,1/1/2022,12/31/2022,ch4,15.17116103,2.10E-08,T of CH4 per VKT,756.3849209,km,721000000,vehicle km traveled (VKT),Dera Ismail Khan Urban Area in Dera Ismail Khan Division
road-transportation,1/1/2021,12/31/2021,n2o,3.965594533,5.77E-09,T of N2O per VKT,803.2773412,km,687000000,vehicle km traveled (VKT),Jhang Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,co2,117951.9588,0.000171761,T of CO2 per VKT,803.2773412,km,687000000,vehicle km traveled (VKT),Jhang Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,ch4,14.45168997,2.10E-08,T of CH4 per VKT,803.2773412,km,687000000,vehicle km traveled (VKT),Jhang Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,n2o,4.1355102,5.77E-09,T of N2O per VKT,830.5153169,km,716000000,vehicle km traveled (VKT),Jhang Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,co2,123005.901,0.000171761,T of CO2 per VKT,830.5153169,km,716000000,vehicle km traveled (VKT),Jhang Urban Area in Faisalabad Division
road-transportation,1/1/2022,12/31/2022,ch4,15.07090823,2.10E-08,T of CH4 per VKT,830.5153169,km,716000000,vehicle km traveled (VKT),Jhang Urban Area in Faisalabad Division
road-transportation,1/1/2021,12/31/2021,n2o,3.273207043,5.77E-09,T of N2O per VKT,675.5935238,km,567000000,vehicle km traveled (VKT),Haripur Urban Area in Hazara Division
road-transportation,1/1/2021,12/31/2021,co2,97357.70488,0.000171761,T of CO2 per VKT,675.5935238,km,567000000,vehicle km traveled (VKT),Haripur Urban Area in Hazara Division
road-transportation,1/1/2021,12/31/2021,ch4,11.92844428,2.10E-08,T of CH4 per VKT,675.5935238,km,567000000,vehicle km traveled (VKT),Haripur Urban Area in Hazara Division
road-transportation,1/1/2022,12/31/2022,n2o,3.478182219,5.77E-09,T of N2O per VKT,719.9188178,km,602000000,vehicle km traveled (VKT),Haripur Urban Area in Hazara Division
road-transportation,1/1/2022,12/31/2022,co2,103454.4511,0.000171761,T of CO2 per VKT,719.9188178,km,602000000,vehicle km traveled (VKT),Haripur Urban Area in Hazara Division
road-transportation,1/1/2022,12/31/2022,ch4,12.67542879,2.10E-08,T of CH4 per VKT,719.9188178,km,602000000,vehicle km traveled (VKT),Haripur Urban Area in Hazara Division
road-transportation,1/1/2021,12/31/2021,n2o,3.043515221,5.77E-09,T of N2O per VKT,583.6146262,km,527000000,vehicle km traveled (VKT),Larkana Urban Area in Larkana Division
road-transportation,1/1/2021,12/31/2021,co2,90525.79101,0.000171761,T of CO2 per VKT,583.6146262,km,527000000,vehicle km traveled (VKT),Larkana Urban Area in Larkana Division
road-transportation,1/1/2021,12/31/2021,ch4,11.09138568,2.10E-08,T of CH4 per VKT,583.6146262,km,527000000,vehicle km traveled (VKT),Larkana Urban Area in Larkana Division
road-transportation,1/1/2022,12/31/2022,n2o,3.313150288,5.77E-09,T of N2O per VKT,659.6477189,km,574000000,vehicle km traveled (VKT),Larkana Urban Area in Larkana Division
road-transportation,1/1/2022,12/31/2022,co2,98545.76985,0.000171761,T of CO2 per VKT,659.6477189,km,574000000,vehicle km traveled (VKT),Larkana Urban Area in Larkana Division
road-transportation,1/1/2022,12/31/2022,ch4,12.07400817,2.10E-08,T of CH4 per VKT,659.6477189,km,574000000,vehicle km traveled (VKT),Larkana Urban Area in Larkana Division
road-transportation,1/1/2021,12/31/2021,n2o,3.281153821,5.77E-09,T of N2O per VKT,551.7439595,km,568000000,vehicle km traveled (VKT),Nowshera Urban Area in Peshawar Division
road-transportation,1/1/2021,12/31/2021,co2,97594.07248,0.000171761,T of CO2 per VKT,551.7439595,km,568000000,vehicle km traveled (VKT),Nowshera Urban Area in Peshawar Division
road-transportation,1/1/2021,12/31/2021,ch4,11.95740447,2.10E-08,T of CH4 per VKT,551.7439595,km,568000000,vehicle km traveled (VKT),Nowshera Urban Area in Peshawar Division
